date,avg,Bank of Tokyo Mitsubishi UFJ,Barclays,Credit Agricole CIB,Deutsche Bank,HSBC,JP Morgan,Lloyds Bank,Mizuho,Norinchukin Bank,RBS,Societe Generale,Sumitomo Mitsui Banking Corporation,UBS
06/19/2015,0.135,0.12,0.09,0.18,0.145,0.1,0.145,0.15,0.12,0.095,0.145,0.12,0.155,0.151
06/12/2015,0.135,0.12,0.1,0.1775,0.145,0.1,0.145,0.15,0.12,0.095,0.145,0.12,0.155,0.151
06/05/2015,0.135,0.12,0.09,0.1775,0.145,0.1,0.145,0.15,0.12,0.095,0.145,0.12,0.155,0.151
05/29/2015,0.135,0.12,0.09,0.18,0.145,0.1,0.145,0.15,0.12,0.095,0.145,0.12,0.155,0.151
05/22/2015,0.13786,0.12,0.09,0.1775,0.145,0.11,0.145,0.15,0.12,0.095,0.145,0.14,0.155,0.151
05/15/2015,0.135,0.12,0.09,0.1775,0.145,0.11,0.145,0.15,0.12,0.095,0.145,0.12,0.155,0.151
05/08/2015,0.13929,0.12,0.09,0.18,0.145,0.11,0.145,0.15,0.12,0.095,0.145,0.15,0.155,0.151
05/01/2015,0.13786,0.12,0.09,0.1775,0.145,0.11,0.145,0.15,0.12,0.095,0.145,0.14,0.155,0.151
04/24/2015,0.13943,0.12,0.1,0.1775,0.145,0.12,0.145,0.15,0.12,0.095,0.145,0.16,0.155,0.151
04/17/2015,0.13943,0.12,0.11,0.1775,0.145,0.12,0.145,0.15,0.12,0.095,0.145,0.16,0.155,0.151
04/10/2015,0.13786,0.12,0.1,0.1825,0.145,0.12,0.145,0.15,0.12,0.095,0.145,0.14,0.155,0.151
04/03/2015,0.13857,0.12,0.11,0.1875,0.145,0.12,0.145,0.15,0.12,0.095,0.15,0.14,0.155,0.151
03/27/2015,0.13929,0.12,0.11,0.1925,0.145,0.12,0.15,0.15,0.12,0.095,0.15,0.14,0.155,0.151
03/20/2015,0.14143,0.12,0.13,0.19,0.145,0.12,0.15,0.15,0.12,0.095,0.145,0.15,0.155,0.151
03/13/2015,0.13643,0.12,0.13,0.19,0.145,0.12,0.15,0.15,0.12,0.095,0.14,0.1,0.155,0.151
03/06/2015,0.135,0.12,0.08,0.185,0.145,0.12,0.15,0.15,0.12,0.095,0.14,-0.01,0.155,0.151
02/27/2015,0.13643,0.13,0.08,0.1825,0.145,0.12,0.15,0.15,0.12,0.095,0.14,-0.02,0.155,0.151
02/20/2015,0.13857,0.13,0.08,0.1825,0.145,0.13,0.15,0.15,0.12,0.095,0.145,0.12,0.155,0.151
02/13/2015,0.14357,0.13,0.07,0.18,0.145,0.13,0.15,0.15,0.12,0.095,0.15,0.15,0.155,0.151
02/06/2015,0.14214,0.13,0.07,0.1775,0.145,0.13,0.15,0.15,0.12,0.095,0.15,0.14,0.155,0.151
01/30/2015,0.14214,0.13,0.06,0.175,0.145,0.13,0.15,0.15,0.12,0.095,0.15,0.14,0.155,0.151
01/23/2015,0.14214,0.13,0.08,0.175,0.145,0.13,0.15,0.15,0.12,0.095,0.15,0.14,0.155,0.151
01/16/2015,0.14429,0.13,0.09,0.18,0.16,0.13,0.15,0.17,0.12,0.105,0.155,0.13,0.155,0.161
01/09/2015,0.15014,0.13,0.1,0.1825,0.17,0.12,0.15,0.17,0.12,0.105,0.15,0.18,0.165,0.166
01/02/2015,0.14443,0.13,0.1,0.1825,0.17,0.12,0.155,0.17,0.125,0.105,0.15,0.11,0.165,0.166
12/26/2014,0.14514,0.13,0.1,0.1825,0.17,0.12,0.155,0.17,0.13,0.11,0.15,0.11,0.165,0.166
12/19/2014,0.14514,0.13,0.1,0.1825,0.17,0.12,0.155,0.17,0.13,0.11,0.15,0.12,0.165,0.166
12/12/2014,0.14514,0.13,0.09,0.1825,0.17,0.12,0.155,0.17,0.13,0.11,0.15,0.12,0.165,0.166
12/05/2014,0.14514,0.13,0.08,0.18,0.17,0.12,0.155,0.17,0.13,0.11,0.15,0.12,0.165,0.166
11/28/2014,0.14786,0.13,0.08,0.1825,0.17,0.13,0.16,0.17,0.13,0.11,0.15,0.13,0.165,0.171
11/21/2014,0.14857,0.13,0.07,0.1825,0.17,0.135,0.16,0.17,0.13,0.11,0.15,0.13,0.165,0.171
11/14/2014,0.15143,0.12,0.08,0.1825,0.17,0.14,0.165,0.17,0.13,0.11,0.155,0.13,0.17,0.171
11/07/2014,0.15143,0.12,0.1,0.175,0.17,0.14,0.165,0.17,0.13,0.105,0.155,0.13,0.17,0.171
10/31/2014,0.15786,0.14,0.1,0.175,0.17,0.15,0.165,0.17,0.13,0.11,0.16,0.15,0.17,0.171
10/24/2014,0.15929,0.14,0.14,0.175,0.175,0.16,0.17,0.18,0.14,0.115,0.155,0.13,0.175,0.176
10/17/2014,0.16286,0.14,0.14,0.1825,0.175,0.16,0.175,0.18,0.15,0.125,0.165,0.14,0.175,0.186
10/10/2014,0.16286,0.14,0.14,0.1925,0.175,0.16,0.175,0.18,0.15,0.125,0.165,0.13,0.175,0.186
10/03/2014,0.16571,0.14,0.14,0.195,0.175,0.17,0.175,0.18,0.16,0.13,0.165,0.13,0.175,0.186
09/26/2014,0.16786,0.15,0.14,0.225,0.175,0.17,0.18,0.18,0.16,0.13,0.165,0.12,0.175,0.186
09/19/2014,0.16929,0.15,0.15,0.21,0.175,0.17,0.18,0.18,0.165,0.135,0.165,0.15,0.18,0.186
09/12/2014,0.17071,0.16,0.15,0.2275,0.175,0.17,0.18,0.18,0.165,0.135,0.165,0.14,0.18,0.196
09/05/2014,0.17571,0.16,0.15,0.23,0.19,0.18,0.18,0.2,0.17,0.135,0.17,0.13,0.18,0.216
08/29/2014,0.17571,0.16,0.15,0.2275,0.19,0.18,0.18,0.2,0.17,0.135,0.17,0.13,0.18,0.216
08/22/2014,0.17643,0.16,0.15,0.2,0.19,0.18,0.18,0.2,0.17,0.135,0.175,0.14,0.18,0.216
08/15/2014,0.17786,0.17,0.12,0.2,0.19,0.18,0.18,0.2,0.17,0.135,0.175,0.13,0.18,0.216
