date,ICE Libor USD 1 week,BNP Paribas,Bank of America,Bank of Tokyo Mitsubishi UFJ,Barclays,Citibank,Credit Suisse,Crédit Agricole CIB,Deutsche Bank,HSBC,JP Morgan,Lloyds Bank,Norinchukin Bank,RBS,Rabobank,Royal Bank of Canada,Societe Generale,Sumitomo Mitsui Banking Corporation,UBS
9/14/15,0.161,,,,,,,,,,,,,,,,,,
9/11/15,0.1593,,,,,,,,,,,,,,,,,,
9/4/15,0.1535,,,,,,,,,,,,,,,,,,
8/28/15,0.1542,,,,,,,,,,,,,,,,,,
8/21/15,0.15275,,,,,,,,,,,,,,,,,,
8/14/15,0.153,,,,,,,,,,,,,,,,,,
8/7/15,0.1497,,,,,,,,,,,,,,,,,,
7/31/15,0.1491,,,,,,,,,,,,,,,,,,
7/24/15,0.15,,,,,,,,,,,,,,,,,,
7/17/15,0.1481,,,,,,,,,,,,,,,,,,
7/10/15,0.1481,,,,,,,,,,,,,,,,,,
7/3/15,0.148,,,,,,,,,,,,,,,,,,
6/26/15,0.146,,,,,,,,,,,,,,,,,,
6/19/15,0.147,,,,,,,,,,,,,,,,,,
6/12/15,0.1475,0.163,0.14,0.16,0.13,0.145,0.14,0.165,0.15,0.15,0.14,0.15,0.195,0.15,0.12,0.12,0.15,0.19,0.14
6/5/15,0.1475,0.172,0.14,0.16,0.13,0.15,0.15,0.155,0.14,0.15,0.14,0.15,0.21,0.15,0.12,0.12,0.15,0.19,0.14
5/29/15,0.15025,0.173,0.14,0.16,0.13,0.155,0.16,0.1575,0.14,0.15,0.14,0.15,0.18,0.15,0.12,0.12,0.165,0.19,0.14
5/22/15,0.14775,0.166,0.14,0.16,0.14,0.155,0.16,0.1525,0.14,0.15,0.14,0.15,0.21,0.15,0.12,0.12,0.11,0.19,0.14
5/15/15,0.149,0.175,0.14,0.16,0.14,0.155,0.16,0.16,0.14,0.15,0.14,0.15,0.2,0.15,0.12,0.12,0.11,0.19,0.145
5/8/15,0.1485,0.174,0.14,0.16,0.13,0.155,0.15,0.16,0.145,0.15,0.14,0.15,0.2,0.15,0.12,0.12,0.13,0.19,0.145
5/1/15,0.1475,0.138,0.14,0.16,0.12,0.15,0.16,0.1625,0.145,0.15,0.14,0.15,0.2,0.15,0.12,0.12,0.15,0.19,0.14
4/24/15,0.144,0.14,0.14,0.16,0.11,0.14,0.16,0.155,0.145,0.15,0.13,0.15,0.2,0.15,0.12,0.12,0.125,0.19,0.14
4/17/15,0.1475,0.167,0.14,0.16,0.12,0.145,0.16,0.155,0.145,0.15,0.13,0.15,0.2,0.15,0.13,0.11,0.135,0.19,0.145
4/10/15,0.14625,0.175,0.14,0.16,0.12,0.145,0.15,0.1575,0.145,0.15,0.13,0.15,0.2,0.15,0.13,0.11,0.125,0.19,0.145
4/3/15,0.1438,0.158,0.14,0.16,0.11,0.14,0.16,0.155,0.145,0.145,0.12,0.14,0.2,0.145,0.11,0.11,0.13,0.19,0.14
3/27/15,0.1425,0.155,0.14,0.16,0.12,0.14,0.16,0.15,0.145,0.15,0.12,0.11,0.2,0.145,0.11,0.11,0.14,0.19,0.14
3/20/15,0.142,0.176,0.14,0.15,0.12,0.145,0.14,0.16,0.135,0.15,0.12,0.14,0.2,0.145,0.11,0.11,0.135,0.19,0.14
3/13/15,0.14,0.176,0.14,0.15,0.13,0.145,0.14,0.16,0.135,0.15,0.12,0.14,0.2,0.145,0.095,0.11,0.125,0.19,0.125
3/6/15,0.1389,0.149,0.14,0.15,0.13,0.14,0.14,0.155,0.13,0.14,0.12,0.14,0.2,0.145,0.11,0.11,0.135,0.185,0.125
2/27/15,0.135,0.13,0.14,0.15,0.12,0.145,0.14,0.145,0.13,0.14,0.12,0.12,0.2,0.145,0.09,0.11,0.135,0.18,0.125
2/20/15,0.1395,0.135,0.14,0.15,0.13,0.145,0.14,0.1575,0.13,0.16,0.12,0.14,0.2,0.145,0.11,0.11,0.14,0.18,0.125
2/13/15,0.138,0.156,0.14,0.14,0.13,0.15,0.14,0.16,0.13,0.14,0.12,0.14,0.2,0.14,0.11,0.11,0.13,0.18,0.125
2/6/15,0.1365,0.153,0.14,0.14,0.13,0.145,0.14,0.1575,0.12,0.14,0.12,0.14,0.2,0.14,0.11,0.11,0.125,0.18,0.125
1/30/15,0.1351,0.121,0.14,0.14,0.13,0.145,0.15,0.1575,0.12,0.14,0.12,0.13,0.2,0.14,0.1,0.11,0.14,0.18,0.125
1/23/15,0.1344,0.134,0.14,0.14,0.13,0.13,0.15,0.15,0.12,0.14,0.12,0.14,0.2,0.14,0.12,0.11,0.125,0.18,0.125
1/16/15,0.135,0.13,0.14,0.14,0.13,0.13,0.15,0.15,0.12,0.135,0.12,0.14,0.2,0.14,0.13,0.11,0.135,0.17,0.125
1/9/15,0.1349,0.139,0.13,0.13,0.13,0.135,0.15,0.1475,0.12,0.135,0.12,0.14,0.2,0.14,0.135,0.11,0.135,0.17,0.125
1/2/15,0.1348,0.133,0.13,0.13,0.13,0.12,0.15,0.145,0.12,0.14,0.12,0.14,0.2,0.14,0.135,0.11,0.205,0.17,0.125
12/26/14,0.133,0.115,0.13,0.14,0.13,0.12,0.15,0.15,0.12,0.135,0.12,0.13,0.2,0.14,0.135,0.11,0.145,0.17,0.125
12/19/14,0.132,0.1,0.13,0.13,0.12,0.13,0.15,0.1675,0.12,0.135,0.12,0.13,0.18,0.14,0.135,0.11,0.14,0.17,0.13
12/12/14,0.1335,0.148,0.13,0.13,0.12,0.125,0.15,0.135,0.12,0.14,0.11,0.13,0.18,0.14,0.135,0.105,0.14,0.17,0.13
12/5/14,0.134,0.117,0.13,0.13,0.12,0.135,0.15,0.1525,0.12,0.14,0.11,0.14,0.18,0.14,0.135,0.105,0.14,0.17,0.13
11/28/14,0.1241,0.126,0.12,0.13,0.1,0.13,0.15,0.1425,0.12,0.125,0.1,0.12,0.18,0.13,0.115,0.095,0.095,0.17,0.125
11/21/14,0.12575,0.14,0.12,0.13,0.1,0.135,0.14,0.1375,0.12,0.125,0.1,0.12,0.18,0.13,0.115,0.095,0.11,0.17,0.125
11/14/14,0.12025,0.101,0.12,0.13,0.1,0.125,0.14,0.1275,0.12,0.12,0.1,0.11,0.18,0.13,0.115,0.085,0.11,0.17,0.125
11/7/14,0.122,0.125,0.12,0.13,0.1,0.13,0.14,0.125,0.12,0.12,0.1,0.11,0.18,0.13,0.115,0.085,0.105,0.17,0.125
10/31/14,0.12075,0.096,0.12,0.13,0.11,0.13,0.14,0.1225,0.12,0.12,0.1,0.11,0.18,0.13,0.115,0.085,0.115,0.17,0.125
10/24/14,0.1205,0.145,0.12,0.13,0.1,0.125,0.14,0.115,0.12,0.12,0.1,0.11,0.18,0.13,0.115,0.085,0.1,0.17,0.12
10/17/14,0.1205,0.131,0.12,0.13,0.1,0.125,0.14,0.115,0.12,0.12,0.1,0.11,0.18,0.13,0.115,0.085,0.1,0.17,0.12
10/10/14,0.1186,0.116,0.12,0.13,0.1,0.12,0.14,0.115,0.12,0.12,0.1,0.11,0.18,0.13,0.115,0.085,0.095,0.18,0.12
10/3/14,0.11845,0.107,0.12,0.13,0.1,0.12,0.14,0.1225,0.12,0.12,0.1,0.11,0.18,0.13,0.115,0.085,0.095,0.18,0.12
9/26/14,0.1175,0.09,0.12,0.13,0.1,0.125,0.14,0.11,0.12,0.12,0.1,0.11,0.18,0.13,0.12,0.085,0.1,0.18,0.12
9/19/14,0.11975,0.11,0.12,0.13,0.1,0.125,0.14,0.1225,0.12,0.12,0.1,0.11,0.18,0.13,0.12,0.09,0.09,0.18,0.12
9/12/14,0.11925,0.11,0.12,0.13,0.1,0.12,0.14,0.1225,0.12,0.12,0.1,0.11,0.18,0.13,0.12,0.09,0.095,0.18,0.12
9/5/14,0.11825,0.098,0.12,0.13,0.1,0.12,0.14,0.1225,0.12,0.12,0.1,0.11,0.18,0.13,0.12,0.09,0.095,0.18,0.12
8/29/14,0.12325,0.12,0.12,0.13,0.1,0.13,0.14,0.1225,0.12,0.12,0.1,0.1,0.18,0.13,0.12,0.09,0.14,0.18,0.12
8/22/14,0.121,0.115,0.12,0.13,0.1,0.135,0.14,0.125,0.12,0.12,0.1,0.11,0.18,0.13,0.12,0.095,0.1,0.18,0.12
8/15/14,0.12175,0.147,0.12,0.13,0.1,0.125,0.14,0.1225,0.12,0.12,0.1,0.11,0.18,0.13,0.12,0.095,0.095,0.18,0.12
8/8/14,0.1205,0.12,0.12,0.13,0.11,0.125,0.14,0.125,0.12,0.12,0.1,0.11,0.18,0.13,0.12,0.095,0.095,0.18,0.115
8/1/14,0.122,0.12,0.12,0.13,0.11,0.125,0.14,0.125,0.13,0.12,0.1,0.11,0.19,0.13,0.12,0.095,0.1,0.18,0.12
7/25/14,0.122,0.132,0.12,0.13,0.12,0.12,0.14,0.1175,0.12,0.12,0.1,0.12,0.19,0.13,0.12,0.095,0.11,0.18,0.12
7/18/14,0.122,0.12,0.12,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.1,0.12,0.19,0.13,0.12,0.095,0.1,0.18,0.12
7/11/14,0.12275,0.136,0.12,0.13,0.12,0.12,0.13,0.1275,0.12,0.12,0.1,0.12,0.19,0.13,0.12,0.09,0.095,0.18,0.115
7/4/14,0.123,0.153,0.12,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.1,0.12,0.19,0.13,0.12,0.1,0.1,0.18,0.115
6/27/14,0.123,0.149,0.12,0.13,0.12,0.12,0.13,0.13,0.12,0.12,0.1,0.12,0.19,0.13,0.12,0.105,0.11,0.18,0.115
6/20/14,0.123,0.138,0.12,0.13,0.11,0.125,0.13,0.1325,0.12,0.12,0.1,0.12,0.19,0.13,0.12,0.1,0.1,0.18,0.115
6/13/14,0.1235,0.137,0.12,0.13,0.1,0.135,0.13,0.13,0.12,0.12,0.1,0.12,0.19,0.13,0.12,0.1,0.095,0.18,0.115
6/6/14,0.122,0.12,0.12,0.13,0.1,0.13,0.13,0.125,0.12,0.12,0.1,0.12,0.19,0.13,0.12,0.1,0.09,0.18,0.115
5/30/14,0.119,0.11,0.12,0.13,0.1,0.13,0.12,0.125,0.12,0.12,0.1,0.11,0.19,0.13,0.12,0.095,0.1,0.18,0.115
5/23/14,0.1203,0.128,0.12,0.13,0.1,0.13,0.12,0.135,0.11,0.12,0.1,0.11,0.19,0.13,0.12,0.095,0.095,0.18,0.115
5/16/14,0.119,0.11,0.12,0.13,0.1,0.13,0.14,0.125,0.11,0.12,0.1,0.11,0.19,0.13,0.12,0.095,0.095,0.18,0.115
5/9/14,0.11875,0.11,0.13,0.13,0.1,0.125,0.14,0.1225,0.11,0.115,0.1,0.11,0.19,0.13,0.12,0.095,0.095,0.18,0.115
5/2/14,0.1195,0.085,0.13,0.13,0.1,0.13,0.14,0.125,0.115,0.12,0.1,0.11,0.19,0.13,0.12,0.095,0.1,0.18,0.115
4/25/14,0.11975,0.11,0.13,0.13,0.1,0.125,0.14,0.1225,0.115,0.12,0.1,0.11,0.19,0.13,0.12,0.095,0.11,0.18,0.115
4/18/14,0.11875,0.11,0.13,0.14,0.1,0.12,0.14,0.1175,0.115,0.115,0.1,0.11,0.19,0.13,0.12,0.095,0.1,0.18,0.12
4/11/14,0.11875,0.11,0.13,0.14,0.1,0.12,0.14,0.1175,0.125,0.115,0.1,0.1,0.19,0.13,0.12,0.09,0.085,0.18,0.12
4/4/14,0.12135,0.131,0.13,0.14,0.1,0.125,0.14,0.1175,0.125,0.115,0.1,0.1,0.19,0.13,0.12,0.09,0.085,0.18,0.12
3/28/14,0.1201,0.116,0.13,0.14,0.09,0.125,0.14,0.12,0.125,0.115,0.1,0.1,0.19,0.13,0.12,0.09,0.1,0.18,0.12
3/21/14,0.11975,0.11,0.13,0.14,0.09,0.13,0.15,0.1175,0.125,0.115,0.1,0.1,0.19,0.13,0.12,0.09,0.09,0.18,0.12
